                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1783,                 1.1233,                 1.6659,                 1.2372,                 1.2741,                 1.6686,                0.81628,                0.65824,                0.78503,                0.50759,                 0.9388,                 2.7148,                 1.3767,                0.92129,                 1.1032,                  1.289,               0.000614,               0.000614,               0.000614
                     38,                 1.1409,                   1.09,                 1.6373,                 1.1773,                 1.2725,                 1.6285,                0.81025,                0.63262,                0.74309,                0.45662,                 1.0181,                 2.7914,                 1.4067,                0.98284,                 1.1791,                  1.324,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1644,                 1.1111,                 1.6469,                 1.2134,                 1.2573,                  1.648,                0.81889,                0.74165,                0.82118,                0.49961,                 1.0271,                   2.71,                 1.4337,                0.96913,                 1.0613,                 1.3506,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1177,                   1.08,                 1.6117,                 1.1671,                 1.2497,                 1.6136,                0.70685,                0.75661,                0.77448,                0.49276,                  1.012,                 3.5006,                  1.397,                0.95233,                 1.3865,                 1.3266,              0.0004952,              0.0004952,              0.0004952
                     41,                0.93107,                0.78262,                 1.5146,                0.98929,                0.82563,                 1.5305,                0.75801,                0.75661,                0.82445,                0.52804,                0.96808,                 2.1718,                 1.4196,                0.93351,                0.89105,                 1.3064,              0.0004556,              0.0004556,              0.0004556
                     42,                0.95778,                0.69754,                 1.5515,                 1.0081,                0.71483,                 1.5778,                0.85729,                0.69312,                0.82957,                0.52747,                0.93618,                 2.0249,                 1.3711,                0.89196,                0.91573,                  1.291,               0.000416,               0.000416,               0.000416
                     43,                0.96562,                0.71191,                 1.5332,                 1.0294,                 0.7366,                 1.5554,                 0.7298,                0.80028,                0.82686,                0.52246,                0.94378,                 1.8902,                 1.3399,                0.88512,                 0.9404,                 1.2772,              0.0003764,              0.0003764,              0.0003764
                     44,                0.91393,                0.64398,                 1.5128,                0.98281,                 0.6647,                 1.5511,                0.73619,                 0.7672,                0.81675,                0.51322,                0.98029,                 2.2151,                 1.3967,                0.93265,                0.99066,                 1.3148,              0.0003368,              0.0003368,              0.0003368
                     45,                0.88038,                0.67831,                  1.475,                0.93102,                0.66806,                 1.5054,                0.73938,                0.72052,                0.80323,                0.51645,                0.99014,                 1.8512,                 1.4114,                0.92133,                0.89329,                 1.3359,              0.0002972,              0.0002972,              0.0002972
                     46,                0.93407,                0.66598,                  1.534,                0.98112,                0.65809,                 1.5312,                 0.7752,                0.73545,                0.81735,                0.52553,                0.94277,                 2.2608,                 1.3729,                0.90658,                0.97284,                 1.3051,              0.0002576,              0.0002576,              0.0002576
                     47,                0.87062,                0.60159,                 1.4655,                0.90452,                0.62005,                 1.4711,                0.70687,                0.74004,                0.78017,                0.51735,                 0.9626,                 2.0056,                 1.3507,                0.89641,                0.94552,                 1.2911,               0.000218,               0.000218,               0.000218
                     48,                0.86536,                0.59633,                 1.4699,                0.91135,                0.61956,                 1.4973,                0.83204,                0.71429,                0.83557,                0.53838,                0.91651,                 1.4742,                 1.3207,                0.86715,                0.78966,                 1.2675,              0.0001784,              0.0001784,              0.0001784
                     49,                0.84586,                0.59473,                 1.4321,                0.88421,                0.63029,                 1.4502,                0.81131,                0.74603,                 0.8464,                0.55061,                0.93329,                 1.5324,                 1.3768,                0.88546,                0.80681,                 1.3029,              0.0001388,              0.0001388,              0.0001388
                     50,                0.81387,                0.60387,                 1.4155,                0.86093,                0.63689,                 1.4271,                0.76542,                0.79365,                0.85703,                0.55553,                0.93507,                 1.8461,                 1.3741,                0.89381,                0.86038,                  1.299,               9.92e-05,               9.92e-05,               9.92e-05
